ID,locality,zipcode,Building condition,Price,Kitchen type,Living area,Furnished,Surface of the plot,Number of frontages,Swimming pool,Bedrooms,Garden,Garden surface,Terrace,Terrace surface,Type of property
10318725,evere,1140,Good,499000,USA hyper equipped,155 m² square meters,FALSE,177 m² square meters,2,FALSE,3,FALSE,0,TRUE,27 m² square meters,House
10319750,waterloo,1410,Good,620000,Hyper equipped,155 m² square meters,FALSE,532 m² square meters,4,FALSE,3,TRUE,210 m² square meters,TRUE,40 m² square meters,House
10319842,waterloo,1410,Good,645000,Installed,190 m² square meters,FALSE,944 m² square meters,4,FALSE,4,TRUE,450 m² square meters,TRUE,25 m² square meters,House
10320082,herselt,2230,Good,720000,Installed,320 m² square meters,FALSE,5209 m² square meters,4,FALSE,4,FALSE,0,FALSE,0,House
10320081,herselt,2230,Good,720000,Installed,320 m² square meters,FALSE,5209 m² square meters,4,FALSE,4,FALSE,0,FALSE,0,House
10324285,tienen,3300,To be done up,163000,Installed,119 m² square meters,FALSE,250 m² square meters,2,FALSE,3,TRUE,101 m² square meters,TRUE,17 m² square meters,Apartment
10324351,grace-hollogne,4460,Good,349000,Installed,240 m² square meters,FALSE,797 m² square meters,4,FALSE,4,TRUE,541 m² square meters,TRUE,50 m² square meters,Apartment
10324190,villers-la-ville,1495,To be done up,375000,Installed,194 m² square meters,FALSE,1380 m² square meters,4,FALSE,6,TRUE,1269 m² square meters,TRUE,104 m² square meters,Apartment
10329123,trooz,4870,To be done up,189000,Falset installed,135 m² square meters,FALSE,397 m² square meters,3,FALSE,2,TRUE,180 m² square meters,TRUE,20 m² square meters,House
10310821,gent,9000,NaN,0,FALSE,0,FALSE,0,0,FALSE,0,FALSE,0,FALSE,0,House
10310822,gent,9000,NaN,0,FALSE,0,FALSE,0,0,FALSE,0,FALSE,0,FALSE,0,House
10311403,argenteau,4601,As new,595000,Hyper equipped,244 m² square meters,FALSE,2152 m² square meters,4,FALSE,4,TRUE,0,TRUE,50 m² square meters,House
10311626,stekene,9190,NaN,0,FALSE,0,FALSE,0,0,FALSE,0,FALSE,0,FALSE,0,House
10311208,woluwe-saint-pierre,1150,As new,699000,USA hyper equipped,160 m² square meters,FALSE,138 m² square meters,2,FALSE,4,TRUE,81 m² square meters,TRUE,13 m² square meters,House
10311077,ixelles,1050,Good,1285000,Hyper equipped,545 m² square meters,FALSE,190 m² square meters,2,FALSE,4,FALSE,0,TRUE,33 m² square meters,Apartment
10316394,la-roche-en-ardenne,6980,To reFalsevate,170000,Falset installed,300 m² square meters,FALSE,780 m² square meters,3,FALSE,3,TRUE,700 m² square meters,FALSE,0,House
10316393,rendeux-marcouray,6987,To reFalsevate,170000,Falset installed,300 m² square meters,FALSE,780 m² square meters,3,FALSE,3,TRUE,700 m² square meters,FALSE,0,House
10307421,gavere,9890,As new,331000,Hyper equipped,144 m² square meters,FALSE,193 m² square meters,2,FALSE,3,TRUE,37 m² square meters,TRUE,12 m² square meters,House
10307420,gavere,9890,As new,331000,Hyper equipped,144 m² square meters,FALSE,195 m² square meters,2,FALSE,3,TRUE,39 m² square meters,TRUE,12 m² square meters,House
10307422,gavere,9890,As new,345000,Hyper equipped,144 m² square meters,FALSE,191 m² square meters,3,FALSE,3,TRUE,35 m² square meters,TRUE,12 m² square meters,House
10307419,gavere,9890,As new,351000,Hyper equipped,152 m² square meters,FALSE,208 m² square meters,3,FALSE,3,TRUE,44 m² square meters,TRUE,12 m² square meters,House
10317967,gent,9000,Just reFalsevated,495000,Hyper equipped,115 m² square meters,FALSE,111 m² square meters,2,FALSE,3,TRUE,31 m² square meters,TRUE,20 m² square meters,House
10321556,hotton,6990,To restore,105000,Falset installed,123 m² square meters,FALSE,475 m² square meters,3,FALSE,2,TRUE,501 m² square meters,TRUE,0,House
10321124,peutie,1800,Good,220000,Falset installed,90 m² square meters,FALSE,65 m² square meters,0,FALSE,2,TRUE,0,FALSE,0,House
10321152,bruxelles,1020,To be done up,350000,Installed,180 m² square meters,FALSE,60 m² square meters,2,FALSE,5,FALSE,0,TRUE,3 m² square meters,House
10323178,avelgem,8580,Good,359000,Installed,160 m² square meters,FALSE,402 m² square meters,0,FALSE,3,FALSE,0,FALSE,0,House
10326484,rixensart,1330,To reFalsevate,450000,Installed,253 m² square meters,FALSE,1398 m² square meters,2,FALSE,5,TRUE,1060 m² square meters,TRUE,50 m² square meters,House
10327130,waterloo,1410,To be done up,565000,Installed,211 m² square meters,FALSE,1129 m² square meters,4,FALSE,4,TRUE,0,TRUE,0,Apartment
10106732,brugge,8000,As new,1049000,Installed,579 m² square meters,FALSE,277 m² square meters,2,FALSE,10,TRUE,53 m² square meters,FALSE,0,Apartment
10308899,flemalle,4400,To be done up,249000,Installed,314 m² square meters,FALSE,879 m² square meters,3,FALSE,2,FALSE,0,TRUE,20 m² square meters,Apartment
10277075,antwerp,2060,To be done up,310000,Semi equipped,218 m² square meters,FALSE,88 m² square meters,2,FALSE,0,FALSE,0,TRUE,15 m² square meters,Apartment
10330639,mol,2400,Good,650000,Installed,350 m² square meters,FALSE,2375 m² square meters,4,TRUE,4,TRUE,1800 m² square meters,TRUE,85 m² square meters,Apartment
10330628,betekom,3130,To reFalsevate,299000,Semi equipped,200 m² square meters,FALSE,1660 m² square meters,4,FALSE,3,TRUE,0,FALSE,0,House
10330625,soignies-casteau,7061,As new,299000,USA semi equipped,177 m² square meters,FALSE,280 m² square meters,2,FALSE,3,TRUE,180 m² square meters,TRUE,15 m² square meters,House
10330623,bruxelles,1120,Good,675000,Installed,265 m² square meters,FALSE,444 m² square meters,2,FALSE,7,TRUE,250 m² square meters,TRUE,20 m² square meters,House
10173768,ixelles,1050,NaN,650000,Installed,140 m² square meters,FALSE,0,0,FALSE,3,FALSE,0,TRUE,25 m² square meters,House
10330617,mons,7000,To be done up,249000,USA hyper equipped,117 m² square meters,FALSE,0,2,FALSE,2,FALSE,0,TRUE,15 m² square meters,House
10330610,lembeek,1502,NaN,595000,FALSE,340 m² square meters,FALSE,1216 m² square meters,4,FALSE,4,FALSE,0,FALSE,0,House
10308902,saint-nicolas,4420,Good,279000,Installed,140 m² square meters,FALSE,688 m² square meters,4,FALSE,4,TRUE,400 m² square meters,TRUE,35 m² square meters,House
10309765,uccle,1180,To reFalsevate,649000,Falset installed,300 m² square meters,FALSE,263 m² square meters,2,FALSE,5,TRUE,195 m² square meters,TRUE,20 m² square meters,House
10324021,jette,1090,To reFalsevate,280000,Semi equipped,147 m² square meters,FALSE,40 m² square meters,2,FALSE,4,FALSE,0,FALSE,0,House
